/*
/* KAMKE SET
/*

/*ode[[206]]=y[x]*D[y[x],x]+a*y[x]+b*Exp[x]-2*a
/*ode[[207]]=y[x]*D[y[x],x]+y[x]^2+4*x*(1+x)
/*ode[[208]]=y[x]*D[y[x],x]+a*y[x]^2-b*Cos[x+c]
/*ode[[209]]=y[x]*D[y[x],x]-(a*y[x]^2+b)^(1/2)
/*ode[[210]]=y[x]*D[y[x],x]+x*y[x]^2-4*x
/*ode[[211]]=y[x]*D[y[x],x]-x*Exp[x/y[x]]
/*ode[[212]]=y[x]*D[y[x],x]+f[y[x]^2+x^2]*g[x]+x
/*ode[[213]]=(1+y[x])*D[y[x],x]-y[x]-x
/*ode[[214]]=(y[x]+x-1)*D[y[x],x]-y[x]+2*x+3
/*ode[[215]]=(y[x]+2*x-2)*D[y[x],x]-y[x]+x+1
/*ode[[216]]=(y[x]-2*x+1)*D[y[x],x]+y[x]+x
/*ode[[217]]=(y[x]-x^2)*D[y[x],x]-x
/*ode[[218]]=(y[x]-x^2)*D[y[x],x]+4*x*y[x]
/*ode[[219]]=(y[x]+g[x])*D[y[x],x]-f2[x]*y[x]^2-f1[x]*y[x]-f0[x]
/*ode[[220]]=2*y[x]*D[y[x],x]-x*y[x]^2-x^3
/*ode[[221]]=(2*y[x]+x+1)*D[y[x],x]-2*y[x]-x+1
/*ode[[222]]=(2*y[x]+x+7)*D[y[x],x]-y[x]+2*x+4
/*ode[[223]]=(2*y[x]-x)*D[y[x],x]-y[x]-2*x
/*ode[[224]]=(2*y[x]-6*x)*D[y[x],x]-y[x]+3*x+2
/*ode[[225]]=(4*y[x]+2*x+3)*D[y[x],x]-2*y[x]-x-1
/*ode[[226]]=(4*y[x]-2*x-3)*D[y[x],x]+2*y[x]-x-1
/*ode[[227]]=(4*y[x]-3*x-5)*D[y[x],x]-3*y[x]+7*x+2
/*ode[[228]]=(4*y[x]+11*x-11)*D[y[x],x]-25*y[x]-8*x+62
/*ode[[229]]=(12*y[x]-5*x-8)*D[y[x],x]-5*y[x]+2*x+3
/*ode[[230]]=a*y[x]*D[y[x],x]+b*y[x]^2+f[x]
/*ode[[231]]=(a*y[x]+b*x+c)*D[y[x],x]+alpha*y[x]+beta*x+EulerGamma
/*ode[[232]]=x*y[x]*D[y[x],x]+y[x]^2+x^2
/*ode[[233]]=x*y[x]*D[y[x],x]-y[x]^2+a*x^3*Cos[x]
/*ode[[234]]=x*y[x]*D[y[x],x]-y[x]^2+x*y[x]+x^3-2*x^2
/*ode[[235]]=(x*y[x]+a)*D[y[x],x]+b*y[x]
/*ode[[236]]=x*(y[x]+4)*D[y[x],x]-y[x]^2-2*y[x]-2*x
/*ode[[237]]=x*(y[x]+a)*D[y[x],x]+b*y[x]+c*x
/*ode[[238]]=(x*(y[x]+x)+a)*D[y[x],x]-y[x]*(y[x]+x)-b
/*ode[[239]]=(x*y[x]-x^2)*D[y[x],x]+y[x]^2-3*x*y[x]-2*x^2
/*ode[[240]]=2*x*y[x]*D[y[x],x]-y[x]^2+a*x
/*ode[[241]]=2*x*y[x]*D[y[x],x]-y[x]^2+a*x^2
/*ode[[242]]=2*x*y[x]*D[y[x],x]+2*y[x]^2+1
/*ode[[243]]=x*(2*y[x]+x-1)*D[y[x],x]-y[x]*(y[x]+2*x+1)
/*ode[[244]]=x*(2*y[x]-x-1)*D[y[x],x]+y[x]*(2*x-y[x]-1)
/*ode[[245]]=(2*x*y[x]+4*x^3)*D[y[x],x]+y[x]^2+112*x^2*y[x]
/*ode[[246]]=x*(3*y[x]+2*x)*D[y[x],x]+3*(y[x]+x)^2
/*ode[[247]]=(3*x+2)*(y[x]-2*x-1)*D[y[x],x]-y[x]^2+x*y[x]-7*x^2-9*x-3
/*ode[[248]]=(6*x*y[x]+x^2+3)*D[y[x],x]+3*y[x]^2+2*x*y[x]+2*x
/*ode[[249]]=(a*x*y[x]+b*x^n)*D[y[x],x]+alpha*y[x]^3+beta*y[x]^2
/*ode[[250]]=(B*x*y[x]+A*x^2+a*x+b*y[x]+c)*D[y[x],x]-B*y[x]^2+A*x*y[x]+alpha*x+beta*y[x]+EulerGamma
/*ode[[251]]=(x^2*y[x]-1)*D[y[x],x]+x*y[x]^2-1
/*ode[[252]]=(x^2*y[x]-1)*D[y[x],x]-x*y[x]^2+1
/*ode[[253]]=(x^2*y[x]-1)*D[y[x],x]+8*x*y[x]^2-8
/*ode[[254]]=x*(x*y[x]-2)*D[y[x],x]+x^2*y[x]^3+x*y[x]^2-2*y[x]
/*ode[[255]]=x*(x*y[x]-3)*D[y[x],x]+x*y[x]^2-y[x]
/*ode[[256]]=x^2*(-1+y[x])*D[y[x],x]+(-1+x)*y[x]
/*ode[[257]]=x*(x*y[x]+x^4-1)*D[y[x],x]-y[x]*(x*y[x]-x^4-1)
/*ode[[258]]=2*x^2*y[x]*D[y[x],x]+y[x]^2-2*x^3-x^2
/*ode[[259]]=2*x^2*y[x]*D[y[x],x]-y[x]^2-x^2*Exp[x-1/x]
/*ode[[260]]=(2*x^2*y[x]+x)*D[y[x],x]-x^2*y[x]^3+2*x*y[x]^2+y[x]
/*ode[[261]]=(2*x^2*y[x]-x)*D[y[x],x]-2*x*y[x]^2-y[x]
/*ode[[262]]=(2*x^2*y[x]-x^3)*D[y[x],x]+y[x]^3-4*x*y[x]^2+2*x^3
/*ode[[263]]=2*x^3+y[x]*D[y[x],x]+3*x^2*y[x]^2+7
/*ode[[264]]=2*x*(x^3*y[x]+1)*D[y[x],x]+(3*x^3*y[x]-1)*y[x]
/*ode[[265]]=(x^(n*(n+1))*y[x]-1)*D[y[x],x]+2*(n+1)^2*x^(n-1)*(x^(n^2)*y[x]^2-1)
/*ode[[266]]=(y[x]-x)*(x^2+1)^(1/2)*D[y[x],x]-a*((y[x]^2+1)^3)^(1/2)
/*ode[[267]]=y[x]*D[y[x],x]*Sin[x]^2+y[x]^2*Cos[x]*Sin[x]-1
/*ode[[268]]=f[x]*y[x]*D[y[x],x]+g[x]*y[x]^2+h[x]
/*ode[[269]]=(g1[x]*y[x]+g0[x])*D[y[x],x]-f1[x]*y[x]-f2[x]*y[x]^2-f3[x]*y[x]^3-f0[x]
/*ode[[270]]=(y[x]^2-x)*D[y[x],x]-y[x]+x^2
/*ode[[271]]=(y[x]^2+x^2)*D[y[x],x]+2*x*(y[x]+2*x)
/*ode[[272]]=(y[x]^2+x^2)*D[y[x],x]-y[x]^2
/*ode[[273]]=(y[x]^2+x^2+a)*D[y[x],x]+2*x*y[x]
/*ode[[274]]=(y[x]^2+x^2+a)*D[y[x],x]+2*x*y[x]+x^2+b
/*ode[[275]]=(y[x]^2+x^2+x)*D[y[x],x]-y[x]
/*ode[[276]]=(y[x]^2-x^2)*D[y[x],x]+2*x*y[x]
/*ode[[277]]=(y[x]^2+x^4)*D[y[x],x]-4*x^3*y[x]
/*ode[[278]]=(y[x]^2+4*Sin[x])*D[y[x],x]-Cos[x]
/*ode[[279]]=(y[x]^2+2*y[x]+x)*D[y[x],x]+(y[x]+x)^2*y[x]^2+y[x]*(1+y[x])
/*ode[[280]]=(y[x]+x)^2*D[y[x],x]-a^2
/*ode[[281]]=(y[x]^2+2*x*y[x]-x^2)*D[y[x],x]-y[x]^2+2*x*y[x]+x^2
/*ode[[282]]=(y[x]+3*x-1)^2*D[y[x],x]-(2*y[x]-1)*(4*y[x]+6*x-3)
/*ode[[283]]=3*(y[x]^2-x^2)*D[y[x],x]+2*y[x]^3-6*x*(1+x)*y[x]-3*Exp[x]
/*ode[[284]]=(4*y[x]^2+x^2)*D[y[x],x]-x*y[x]
/*ode[[285]]=(4*y[x]^2+2*x*y[x]+3*x^2)*D[y[x],x]+y[x]^2+6*x*y[x]+2*x^2
/*ode[[286]]=(2*y[x]-3*x+1)^2*D[y[x],x]-(3*y[x]-2*x-4)^2
/*ode[[287]]=(2*y[x]-4*x+1)^2*D[y[x],x]-(y[x]-2*x)^2
/*ode[[288]]=(6*y[x]^2-3*x^2*y[x]+1)*D[y[x],x]-3*x*y[x]^2+x
/*ode[[289]]=(6*y[x]-x)^2*D[y[x],x]-6*y[x]^2+2*x*y[x]+a
/*ode[[290]]=(a*y[x]^2+2*b*x*y[x]+c*x^2)*D[y[x],x]+b*y[x]^2+2*c*x*y[x]+d*x^2
/*ode[[291]]=(b*(beta*y[x]+alpha*x)^2-beta*(a*x+b*y[x]))*D[y[x],x]+a*(beta*y[x]+alpha*x)^2-alpha*(a*x+b*y[x])
/*ode[[292]]=(a*y[x]+b*x+c)^2*D[y[x],x]+(alpha*y[x]+beta*x+EulerGamma)^2
/*ode[[293]]=x*(y[x]^2-3*x)*D[y[x],x]+2*y[x]^3-5*x*y[x]
/*ode[[294]]=x*(y[x]^2+x^2-a)*D[y[x],x]-y[x]*(y[x]^2+x^2+a)
/*ode[[295]]=x*(y[x]^2+x*y[x]-x^2)*D[y[x],x]-y[x]^3+x*y[x]^2+x^2*y[x]
/*ode[[296]]=x*(y[x]^2+x^2*y[x]+x^2)*D[y[x],x]-2*y[x]^3-2*x^2*y[x]^2+x^4
/*ode[[297]]=2*x*(y[x]^2+5*x^2)*D[y[x],x]+y[x]^3-x^2*y[x]
/*ode[[298]]=3*x*y[x]^2*D[y[x],x]+y[x]^3-2*x
/*ode[[299]]=(3*x*y[x]^2-x^2)*D[y[x],x]+y[x]^3-2*x*y[x]
/*ode[[300]]=6*x*y[x]^2*D[y[x],x]+2*y[x]^3+x
/*ode[[301]]=(6*x*y[x]^2+x^2)*D[y[x],x]-y[x]*(3*y[x]^2-x)
/*ode[[302]]=(x^2*y[x]^2+x)*D[y[x],x]+y[x]
/*ode[[303]]=(x*y[x]-1)^2*x*D[y[x],x]+(x^2*y[x]^2+1)*y[x]
/*ode[[304]]=(10*x^3*y[x]^2+x^2*y[x]+2*x)*D[y[x],x]+5*x^2*y[x]^3+x*y[x]^2
/*ode[[305]]=(y[x]^3-3*x)*D[y[x],x]-3*y[x]+x^2
/*ode[[306]]=(y[x]^3-x^3)*D[y[x],x]-x^2*y[x]
/*ode[[307]]=(y[x]^2+x^2+a)*y[x]*D[y[x],x]+(y[x]^2+x^2-a)*x
/*ode[[308]]=2*y[x]^3*D[y[x],x]+x*y[x]^2
/*ode[[309]]=(2*y[x]^3+y[x])*D[y[x],x]-2*x^3-x
/*ode[[310]]=(2*y[x]^3+5*x^2*y[x])*D[y[x],x]+5*x*y[x]^2+x^3
/*ode[[311]]=(20*y[x]^3-3*x*y[x]^2+6*x^2*y[x]+3*x^3)*D[y[x],x]-y[x]^3+6*x*y[x]^2+9*x^2*y[x]+4*x^3
/*ode[[312]]=(y[x]^2/b+x^2/a)*(y[x]*D[y[x],x]+x)+(a-b)*(y[x]*D[y[x],x]-x)/(a+b)
/*ode[[313]]=(2*a*y[x]^3+3*a*x*y[x]^2-b*x^3+c*x^2)*D[y[x],x]-a*y[x]^3+c*y[x]^2+3*b*x^2*y[x]+2*b*x^3
/*ode[[314]]=x*y[x]^3*D[y[x],x]+y[x]^4-x*Sin[x]
/*ode[[315]]=(2*x*y[x]^3-x^4)*D[y[x],x]-y[x]^4+2*x^3*y[x]
/*ode[[316]]=(2*x*y[x]^3+y[x])*D[y[x],x]+2*y[x]^2
/*ode[[317]]=(2*x*y[x]^3+x*y[x]+x^2)*D[y[x],x]+y[x]^2-x*y[x]
/*ode[[318]]=(3*x*y[x]^3-4*x*y[x]+y[x])*D[y[x],x]+y[x]^2*(y[x]^2-2)
/*ode[[319]]=(7*x*y[x]^3+y[x]-5*x)*D[y[x],x]+y[x]^4-5*y[x]
/*ode[[320]]=(x^2*y[x]^3+x*y[x])*D[y[x],x]-1
/*ode[[321]]=(2*x^2*y[x]^3+x^2*y[x]^2-2*x)*D[y[x],x]-2*y[x]-1
/*ode[[322]]=(10*x^2*y[x]^3-3*y[x]^2-2)*D[y[x],x]+5*x*y[x]^4+x
/*ode[[323]]=(a*x*y[x]^3+c)*x*D[y[x],x]+(b*x^3*y[x]+c)*y[x]
/*ode[[324]]=(2*x^3*y[x]^3-x)*D[y[x],x]+2*x^3*y[x]^3-y[x]
/*ode[[325]]=y[x]*(y[x]^3-2*x^3)*D[y[x],x]+(2*y[x]^3-x^3)*x
/*ode[[326]]=y[x]*((a*y[x]+b*x)^3+b*x^3)*D[y[x],x]+x*((a*y[x]+b*x)^3+a*y[x]^3)
/*ode[[327]]=(x*y[x]^4+2*x^2*y[x]^3+2*y[x]+x)*D[y[x],x]+y[x]^5+y[x]
/*ode[[328]]=a*x^2*y[x]^n*D[y[x],x]-2*x*D[y[x],x]+y[x]
/*ode[[329]]=y[x]^m*x^n*(a*x*D[y[x],x]+b*y[x])+alpha*x*D[y[x],x]+beta*y[x]
/*ode[[330]]=(f[y[x]+x]+1)*D[y[x],x]+f[y[x]+x]
/*ode[[331]]=D[y[x],x]*Sum[f[nu][x]*y[x]^nu,{nu,1,p}]-Sum[g[nu][x]*y[x]^nu,{nu,1,q}]
/*ode[[332]]=((x*y[x])^(1/2)-1)*x*D[y[x],x]-((x*y[x])^(1/2)+1)*y[x]
/*ode[[333]]=(2*x^(5/2)*y[x]^(3/2)+x^2*y[x]-x)*D[y[x],x]-x^(3/2)*y[x]^(5/2)+x*y[x]^2-y[x]
/*ode[[334]]=((y[x]+x)^(1/2)+1)*D[y[x],x]+1
/*ode[[335]]=(y[x]^2-1)^(1/2)*D[y[x],x]-(x^2-1)^(1/2)
/*ode[[336]]=((y[x]^2+1)^(1/2)+a*x)*D[y[x],x]+(x^2+1)^(1/2)+a*y[x]
/*ode[[337]]=((y[x]^2+x^2)^(1/2)+x)*D[y[x],x]-y[x]
/*ode[[338]]=(y[x]*(y[x]^2+x^2)^(1/2)+(y[x]^2-x^2)*Sin[alpha]-2*x*y[x]*Cos[alpha])*D[y[x],x]+x*(y[x]^2+x^2)^(1/2)+2*x*y[x]*Sin[alpha]+(y[x]^2-x^2)*Cos[alpha]
/*ode[[339]]=(x*(x^2+y[x]^2+1)^(1/2)-y[x]*(y[x]^2+x^2))*D[y[x],x]-y[x]*(x^2+y[x]^2+1)^(1/2)-x*(y[x]^2+x^2)
/*ode[[340]]=(e1*(x+a)/((x+a)^2+y[x]^2)^(3/2)+e2*(x-a)/((x-a)^2+y[x]^2)^(3/2))*D[y[x],x]-y[x]*(e1/((x+a)^2+y[x]^2)^(3/2)+e2/((x-a)^2+y[x]^2)^(3/2))
/*ode[[341]]=(x*Exp[y[x]]+Exp[x])*D[y[x],x]+Exp[y[x]]+y[x]*Exp[x]
/*ode[[342]]=x*(3*Exp[x*y[x]]+2*Exp[-x*y[x]])*(x*D[y[x],x]+y[x])+1
/*ode[[343]]=(Log[y[x]]+x)*D[y[x],x]-1
/*ode[[344]]=(Log[y[x]]+2*x-1)*D[y[x],x]-2*y[x]
/*ode[[345]]=x*(2*x^2*y[x]*Log[y[x]]+1)*D[y[x],x]-2*y[x]
/*ode[[346]]=x*(y[x]*Log[x*y[x]]+y[x]-a*x)*D[y[x],x]-y[x]*(a*x*Log[x*y[x]]-y[x]+a*x)
/*ode[[347]]=D[y[x],x]*(1+Sin[x])*Sin[y[x]]+Cos[x]*(Cos[y[x]]-1)
/*ode[[348]]=(x*Cos[y[x]]+Sin[x])*D[y[x],x]+y[x]*Cos[x]+Sin[y[x]]
/*ode[[349]]=x*D[y[x],x]*Cot[y[x]/x]+2*x*Sin[y[x]/x]-y[x]*Cot[y[x]/x]
/*ode[[350]]=D[y[x],x]*Cos[y[x]]-Cos[x]*Sin[y[x]]^2-Sin[y[x]]
/*ode[[351]]=D[y[x],x]*Cos[y[x]]+x*Sin[y[x]]*Cos[y[x]]^2-Sin[y[x]]^3
/*ode[[352]]=D[y[x],x]*(Cos[y[x]]-Sin[alpha]*Sin[x])*Cos[y[x]]+(Cos[x]-Sin[alpha]*Sin[y[x]])*Cos[x]
/*ode[[353]]=x*D[y[x],x]*Cos[y[x]]+Sin[y[x]]
/*ode[[354]]=(x*Sin[y[x]]-1)*D[y[x],x]+Cos[y[x]]
/*ode[[355]]=(x*Cos[y[x]]+Cos[x])*D[y[x],x]-y[x]*Sin[x]+Sin[y[x]]
/*ode[[356]]=(x^2*Cos[y[x]]+2*y[x]*Sin[x])*D[y[x],x]+2*x*Sin[y[x]]+y[x]^2*Cos[x]
/*ode[[357]]=x*D[y[x],x]*Log[x]*Sin[y[x]]+Cos[y[x]]*(1-x*Cos[y[x]])
/*ode[[358]]=D[y[x],x]*Sin[y[x]]*Cos[x]+Cos[y[x]]*Sin[x]
/*ode[[359]]=3*D[y[x],x]*Sin[x]*Sin[y[x]]+5*Cos[x]^4*y[x]
/*ode[[360]]=D[y[x],x]*Cos[a*y[x]]-b*(1-c*Cos[a*y[x]])*(Cos[a*y[x]]^2-1+c*Cos[a*y[x]])^(1/2)
/*ode[[361]]=(x*Sin[x*y[x]]+Cos[y[x]+x]-Sin[y[x]])*D[y[x],x]+y[x]*Sin[x*y[x]]+Cos[y[x]+x]+Cos[x]
/*ode[[362]]=(x^2*y[x]*Sin[x*y[x]]-4*x)*D[y[x],x]+x*y[x]^2*Sin[x*y[x]]-y[x]
/*ode[[363]]=(x*D[y[x],x]-y[x])*Cos[y[x]/x]^2+x
/*ode[[364]]=(y[x]*Sin[y[x]/x]-x*Cos[y[x]/x])*x*D[y[x],x]-(x*Cos[y[x]/x]+y[x]*Sin[y[x]/x])*y[x]
/*ode[[365]]=(y[x]*f[y[x]^2+x^2]-x)*D[y[x],x]+y[x]+x*f[y[x]^2+x^2]
/*ode[[366]]=f[x^2+a*y[x]^2]*(a*y[x]*D[y[x],x]+x)-y[x]-x*D[y[x],x]
/*ode[[367]]=f[x^c*y[x]]*(b*x*D[y[x],x]-a)-x^a*y[x]^b*(x*D[y[x],x]+c*y[x])
/*ode[[368]]=D[y[x],x]^2+a*y[x]+b*x^2
/*ode[[369]]=D[y[x],x]^2+y[x]^2-a^2
/*ode[[370]]=D[y[x],x]^2+y[x]^2-f[x]^2
/*ode[[371]]=D[y[x],x]^2-y[x]^3+y[x]^2
/*ode[[372]]=D[y[x],x]^2-4*y[x]^3+a*y[x]+b
/*ode[[373]]=D[y[x],x]^2+a^2*y[x]^2*(Log[y[x]]^2-1)
/*ode[[374]]=D[y[x],x]^2-2*D[y[x],x]-y[x]^2
/*ode[[375]]=D[y[x],x]^2+a*D[y[x],x]+b*x
/*ode[[376]]=D[y[x],x]^2+a*D[y[x],x]+b*y[x]
/*ode[[377]]=D[y[x],x]^2+(x-2)*D[y[x],x]-y[x]+1
/*ode[[378]]=D[y[x],x]^2+(x+a)*D[y[x],x]-y[x]
/*ode[[379]]=D[y[x],x]^2-(1+x)*D[y[x],x]+y[x]
/*ode[[380]]=D[y[x],x]^2+2*x*D[y[x],x]-y[x]
/*ode[[381]]=D[y[x],x]^2-2*x*D[y[x],x]+y[x]
/*ode[[382]]=D[y[x],x]^2+a*x*D[y[x],x]-b*x^2-c
/*ode[[383]]=D[y[x],x]^2+a*x*D[y[x],x]+b*y[x]+c*x^2
/*ode[[384]]=D[y[x],x]^2+(a*x+b)*D[y[x],x]-a*y[x]+c
/*ode[[385]]=D[y[x],x]^2-2*x^2*D[y[x],x]+2*x*y[x]
/*ode[[386]]=D[y[x],x]^2+a*x^3*D[y[x],x]-2*a*x^2*y[x]
/*ode[[387]]=D[y[x],x]^2+(D[y[x],x]-y[x])*Exp[x]
/*ode[[388]]=D[y[x],x]^2-2*y[x]*D[y[x],x]-2*x
/*ode[[389]]=D[y[x],x]^2-(4*y[x]+1)*D[y[x],x]+(4*y[x]+1)*y[x]
/*ode[[390]]=D[y[x],x]^2+a*y[x]*D[y[x],x]-b*x-c
/*ode[[391]]=D[y[x],x]^2+(a*y[x]+b*x)*D[y[x],x]+a*b*x*y[x]
/*ode[[392]]=D[y[x],x]^2-x*y[x]*D[y[x],x]+y[x]^2*Log[a*y[x]]
/*ode[[393]]=D[y[x],x]^2+2*y[x]*D[y[x],x]*Cot[x]-y[x]^2
/*ode[[394]]=D[y[x],x]^2+2*f[x]*y[x]*D[y[x],x]+g[x]*y[x]^2-(g[x]-f[x]^2)*Exp[-2*Integrate[f[xp],{xp,a,x}]]
/*ode[[395]]=D[y[x],x]^2+2*f[x]*y[x]*D[y[x],x]+g[x]*y[x]^2+h[x]
/*ode[[396]]=D[y[x],x]^2+y[x]*(y[x]-x)*D[y[x],x]-x*y[x]^3
/*ode[[397]]=D[y[x],x]^2-2*x^3*y[x]^2*D[y[x],x]-4*x^2*y[x]^3
/*ode[[398]]=D[y[x],x]^2-3*x*y[x]^(2/3)*D[y[x],x]+9*y[x]^(5/3)
/*ode[[399]]=2*D[y[x],x]^2+(-1+x)*D[y[x],x]-y[x]
/*ode[[400]]=2*D[y[x],x]^2-2*x^2*D[y[x],x]+3*x*y[x]
/*ode[[401]]=3*D[y[x],x]^2-2*x*D[y[x],x]+y[x]
/*ode[[402]]=3*D[y[x],x]^2+4*x*D[y[x],x]-y[x]+x^2
/*ode[[403]]=a*D[y[x],x]^2+b*D[y[x],x]-y[x]
/*ode[[404]]=a*D[y[x],x]^2+b*x^2*D[y[x],x]+c*x*y[x]
/*ode[[405]]=a*D[y[x],x]^2+y[x]*D[y[x],x]-x
/*ode[[406]]=a*D[y[x],x]^2-y[x]*D[y[x],x]-x
/*ode[[407]]=x*D[y[x],x]^2-y[x]
/*ode[[408]]=x*D[y[x],x]^2-2*y[x]+x
/*ode[[409]]=x*D[y[x],x]^2-2*D[y[x],x]-y[x]
/*ode[[410]]=x*D[y[x],x]^2+4*D[y[x],x]-2*y[x]
/*ode[[411]]=x*D[y[x],x]^2+x*D[y[x],x]-y[x]
/*ode[[412]]=x*D[y[x],x]^2+y[x]*D[y[x],x]+a
/*ode[[413]]=x*D[y[x],x]^2+y[x]*D[y[x],x]-x^2
/*ode[[414]]=x*D[y[x],x]^2+y[x]*D[y[x],x]+x^3
/*ode[[415]]=x*D[y[x],x]^2+y[x]*D[y[x],x]-y[x]^4
/*ode[[416]]=x*D[y[x],x]^2+(y[x]-3*x)*D[y[x],x]+y[x]
/*ode[[417]]=x*D[y[x],x]^2-y[x]*D[y[x],x]+a
/*ode[[418]]=x*D[y[x],x]^2-y[x]*D[y[x],x]+a*y[x]
/*ode[[419]]=x*D[y[x],x]^2+2*y[x]*D[y[x],x]-x
/*ode[[420]]=x*D[y[x],x]^2-2*y[x]*D[y[x],x]+a
/*ode[[421]]=x*D[y[x],x]^2-2*y[x]*D[y[x],x]-x
/*ode[[422]]=x*D[y[x],x]^2-2*y[x]*D[y[x],x]+4*x
/*ode[[423]]=x*D[y[x],x]^2-2*y[x]*D[y[x],x]+2*y[x]+x
/*ode[[424]]=x*D[y[x],x]^2+a*y[x]*D[y[x],x]+b*x
/*ode[[425]]=(1+x)*D[y[x],x]^2-(y[x]+x)*D[y[x],x]+y[x]
/*ode[[426]]=(3*x+1)*D[y[x],x]^2-3*(y[x]+2)*D[y[x],x]+9
/*ode[[427]]=(3*x+5)*D[y[x],x]^2-(3*y[x]+x)*D[y[x],x]+y[x]
/*ode[[428]]=a*x*D[y[x],x]^2+(b*x-a*y[x]+c)*D[y[x],x]-b*y[x]
/*ode[[429]]=a*x*D[y[x],x]^2-(a*y[x]+b*x-a-b)*D[y[x],x]+b*y[x]
/*ode[[430]]=(a2*x+c2)*D[y[x],x]^2+(a1*x+b1*y[x]+c1)*D[y[x],x]+a0*x+b0*y[x]+c0
/*ode[[431]]=x^2*D[y[x],x]^2-y[x]^4+y[x]^2
/*ode[[432]]=(x*D[y[x],x]+a)^2-2*a*y[x]+x^2
/*ode[[433]]=(x*D[y[x],x]+y[x]+2*x)^2-4*x*y[x]-4*x^2-4*a
/*ode[[434]]=x^2*D[y[x],x]^2-2*x*y[x]*D[y[x],x]-x^2
/*ode[[435]]=x^2*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+y[x]*(1+y[x])-x
/*ode[[436]]=x^2*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+y[x]^2*(1-x^2)-x^4
/*ode[[437]]=x^2*D[y[x],x]^2-(2*x*y[x]+a)*D[y[x],x]+y[x]^2
/*ode[[438]]=x^2*D[y[x],x]^2+3*x*y[x]*D[y[x],x]+2*y[x]^2
/*ode[[439]]=x^2*D[y[x],x]^2+3*x*y[x]*D[y[x],x]+3*y[x]^2
/*ode[[440]]=x^2*D[y[x],x]^2+4*x*y[x]*D[y[x],x]-5*y[x]^2
/*ode[[441]]=x^2*D[y[x],x]^2-4*x*(y[x]+2)*D[y[x],x]+4*y[x]*(y[x]+2)
/*ode[[442]]=x^2*D[y[x],x]^2+(x^2*y[x]-2*x*y[x]+x^3)*D[y[x],x]+(y[x]^2-x^2*y[x])*(1-x)
/*ode[[443]]=x*(x*D[y[x],x]-y[x])^2-D[y[x],x]
/*ode[[444]]=x^2*D[y[x],x]^2-y[x]*(y[x]-2*x)*D[y[x],x]+y[x]^2
/*ode[[445]]=x^2*D[y[x],x]^2+(a*x^2*y[x]^3+b)*D[y[x],x]+a*b*y[x]^3
/*ode[[446]]=(x^2+1)*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+y[x]^2-1
/*ode[[447]]=(x^2-1)*D[y[x],x]^2-1
/*ode[[448]]=(x^2-1)*D[y[x],x]^2-y[x]^2+1
/*ode[[449]]=(x^2-a^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+y[x]^2
/*ode[[450]]=(x^2-a^2)*D[y[x],x]^2-2*x*y[x]*D[y[x],x]-x^2
/*ode[[451]]=(x^2+a)*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+y[x]^2+b
/*ode[[452]]=(2*x^2+1)*D[y[x],x]^2+(y[x]^2+2*x*y[x]+x^2+2)*D[y[x],x]+2*y[x]^2+1
/*ode[[453]]=(a^2-1)*x^2*D[y[x],x]^2+2*x*y[x]*D[y[x],x]-y[x]^2+a^2*x^2
/*ode[[454]]=a*x^2*D[y[x],x]^2-2*a*x*y[x]*D[y[x],x]+y[x]^2-a*(a-1)*x^2
/*ode[[455]]=x^3*D[y[x],x]^2+x^2*y[x]*D[y[x],x]+a
/*ode[[456]]=x*(x^2-1)*D[y[x],x]^2+2*(1-x^2)*y[x]*D[y[x],x]+x*y[x]^2-x
/*ode[[457]]=x^4*D[y[x],x]^2-x*D[y[x],x]-y[x]
/*ode[[458]]=x^2*(x^2-a^2)*D[y[x],x]^2-1
/*ode[[459]]=Exp[-2*x]*D[y[x],x]^2-(D[y[x],x]-1)^2+Exp[-2*y[x]]
/*ode[[460]]=(D[y[x],x]^2+y[x]^2)*Cos[x]^4-a^2
/*ode[[461]]=a[x]*D[y[x],x]^2+2*b[x]*y[x]*D[y[x],x]+c[x]*y[x]^2+2*d[x]*D[y[x],x]+2*e[x]*y[x]+f[x]
/*ode[[462]]=y[x]*D[y[x],x]^2-1
/*ode[[463]]=y[x]*D[y[x],x]^2-Exp[2*x]
/*ode[[464]]=y[x]*D[y[x],x]^2+2*x*D[y[x],x]-y[x]
/*ode[[465]]=y[x]*D[y[x],x]^2+2*x*D[y[x],x]-9*y[x]
/*ode[[466]]=y[x]*D[y[x],x]^2-2*x*D[y[x],x]+y[x]
/*ode[[467]]=y[x]*D[y[x],x]^2-4*x*D[y[x],x]+y[x]
/*ode[[468]]=y[x]*D[y[x],x]^2-4*a^2*x*D[y[x],x]+a^2*y[x]
/*ode[[469]]=y[x]*D[y[x],x]^2+a*x*D[y[x],x]+b*y[x]
/*ode[[470]]=y[x]*D[y[x],x]^2+x^3*D[y[x],x]-x^2*y[x]
/*ode[[471]]=y[x]*D[y[x],x]^2-(y[x]-x)*D[y[x],x]-x
/*ode[[472]]=(y[x]+x)*D[y[x],x]^2+2*x*D[y[x],x]-y[x]
